id,latin,family,common,space,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit
147,Homalomena,Araceae,Emerald Gem,low,Cultivar,Tropical,medium,Diffused,high,Mealy bug,,"['Table top', 'Tertiary']",28,82.4,10,50.0
148,Peperomia clusiifolia,Piperaceae,Tricolor Peperomia,low,Cultivar,Tropical,medium,/,high,Mealy bug,,"['Table top', 'Ground cover', 'Tertiary']",32,89.6,10,50.0
149,Pandorea jasminoides,Bignoniaceae,"Bower plant, Bower of beauty",low,Australia,Subtropical,high,Direct sunlight.,high,Mealy bug,,"['Potted plant', 'Secondary']",28,82.4,8,46.4
151,Radermachera sinica,Bignoniaceae,China doll,low,China,Subtropical,high,Direct sunlight.,high,Mealy bug,,"['Table top', 'Tertiary']",28,82.4,8,46.4
152,Pteris cretica Parkeri,Pteridaceae,Cretan brake,low,Cultivar,Tropical humid,medium,/,high,,,"['Table top', 'Tertiary']",28,82.4,12,53.6
153,Polystichum tsus simense,Dryopteridaceae,"Korean rock fern, Tsu sima holly fern",low,Korea,Subtropical,medium,/,high,,,"['Table top', 'Tertiary']",28,82.4,-5,23.0
154,Polystichum polyblepharum,Dryopteridaceae,Japanese tassel fern,low,Japan,Subtropical,medium,/,high,,,"['Table top', 'Tertiary']",28,82.4,-5,23.0
155,Ravenea rivularis,Arecaceae,Majesty palm,low,Madagascar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug']",,"['Potted plant', 'Secondary']",30,20.0,8,46.4
156,Polyscias scutellaria,Araliaceae,"Fabian Aralia, Red Aralia",low,Asia,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'Mealy bug']",,"['Potted plant', 'Primary']",30,20.0,12,53.6
157,Pteris cretica Albo lineata,Pteridaceae,Silver Ribbon Fern,low,Cultivar,Tropical humid,medium,/,high,,,"['Table top', 'Tertiary']",28,82.4,12,53.6
158,Platycerium bifurcatum,Polypodiaceae,Staghorn fern,low,Australia,Tropical,medium,Diffused,high,,,"['Potted plant', 'Tertiary']",30,20.0,5,41.0
160,Polyscias pinnatta,Araliaceae,"Balfour aralia, Aralia Balfouriana, Lemon Lime",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'Mealy bug']",,"['Potted plant', 'Primary']",30,20.0,12,53.6
162,Sansevieria trifasciata Laurentii,Liliaceae,Snake plant,low,South Africa,Tropical,medium,Diffused,low,,,"['Potted plant', 'Tertiary']",35,95.0,10,50.0
163,Philodendron pinnatifidum,Araceae,Fernleaf Philodendron,low,Venezuela,Tropical,medium,Diffused,high,Mealy bug,Erwinia,"['Table top', 'Tertiary']",28,82.4,18,64.4
164,Podocarpus gracilior,Podocarpaceae,"African fern pine, Buddhist pine",low,Central Africa,Subtropical,high,Direct sunlight.,high,"['Mealy bug', 'Scale']",,"['Potted plant', 'Primary']",30,20.0,10,50.0
165,Sansevieria trifasciata Hahnii,Liliaceae,"Birdnest sansevieria, Snake plant",low,Cultivar,Tropical,medium,Diffused,low,,,"['Table top', 'Tertiary']",35,95.0,10,50.0
167,Polyscias crispata,Araliaceae,Chicken gizard aralia,low,Malaysia,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'Mealy bug']",,"['Potted plant', 'Primary']",30,20.0,12,53.6
168,Phoenix roebellinii,Palmae,Pignee Date palm,low,Vietnam,Tropical,high,/,high,"['Spider mite', 'Scale']",,"['Potted plant', 'Primary']",28,82.4,8,46.4
169,Polyscias pinnata Marginata,Araliaceae,"Variegated Balfour aralia, Aralia Balfouriana",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'Mealy bug']",,"['Potted plant', 'Primary']",30,20.0,12,53.6
170,Polyscias fruticosa Elegans,Araliaceae,"Ming Aralia, Parsley panax",low,Malaysia,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'Mealy bug']",,"['Potted plant', 'Primary']",30,20.0,12,53.6
171,Philodendron selloum,Araceae,Lacy tree philodendron,low,Brazil,Tropical,medium,Diffused,high,Mealy bug,Erwinia,"['Potted plant', 'Secondary']",28,82.4,18,64.4
172,Pteris ensiformis Evergemiensis,Pteridaceae,Silver Lace Fern,low,Asia,Tropical humid,medium,/,high,,,"['Table top', 'Tertiary']",28,82.4,12,53.6
173,Rhapis excelsa,Arecaceae,Lady palm,low,China,Subtropical,medium,Diffused,high,,,"['Potted plant', 'Secondary']",30,20.0,8,46.4
175,Philodendron scandens oxycardium,Araceae,"Parlor ivy, Sweetheart plant, Heartleaf philodendron, Cordatum vine",low,Central America,Tropical,medium,Diffused,high,Mealy bug,Erwinia,"['Potted plant', 'Secondary']",28,82.4,18,64.4
176,Veitchia merrillii,Arecaceae,"Adonidia, Christmas palm, Manila palm",low,Philippines,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug']",,"['Potted plant', 'Secondary']",30,20.0,15,59.0
177,Spathiphyllum Lynise,Araceae,Peace lily,low,Cultivar,Tropical,medium,Diffused,high,"['Mealy bug', 'Thrips']",Phytophtora,"['Potted plant', 'Secondary']",28,82.4,15,59.0
180,Trichilia dregei,Miliaceae,"Cape mahogany, Christmas bells",low,Zimbabwe,Tropical humid,medium,Diffused,high,Mealy bug,,"['Potted plant', 'Secondary']",28,82.4,12,53.6
183,Syngonium podophyllum,Araceae,"African evergreen, Arrowhead vine, Goosefoot plant, White Lightning",low,Cultivar,Tropical humid,medium,Diffused,high,"['Spider mite', 'Mealy bug']","['Crown rot', 'Erwinia']","['Hanging', 'Tertiary']",28,82.4,12,53.6
184,Syagrus schizophylla,Arecaceae,Parrot palm,low,Brazil,Tropical humid,high,Direct sunlight.,high,,,"['Potted plant', 'Primary']",30,20.0,12,53.6
185,Tillandsia cyanea,Bromeliaceae,Pink quill,low,Ecuador,Tropical humid,medium,Diffused,low,,,"['Table top', 'Tertiary']",30,20.0,15,59.0
188,Xanthosoma lindenii,Araceae,Indian kale,low,Colombia,Tropical,medium,Diffused,high,"['Spider mite', 'Mealy bug']",,"['Potted plant', 'Primary']",28,82.4,12,53.6
189,Schefflera elegantissima,Araliaceae,False aralia,low,New Calidonia,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug', 'Scale']",,"['Potted plant', 'Secondary']",28,82.4,12,53.6
192,Sedum morganianum,Crasssulaceae,Burro tail,low,Mexico,Arid Tropical,high,Direct sunlight.,low,Mealy bug,,"['Hanging', 'Tertiary']",35,95.0,8,46.4
194,Syngonium podophyllum,Araceae,"African evergreen, Arrowhead vine, Goosefoot plant, Pink Allusion",low,Cultivar,Tropical humid,medium,Diffused,high,"['Spider mite', 'Mealy bug']","['Crown rot', 'Erwinia']","['Hanging', 'Tertiary']",28,82.4,12,53.6
195,Scindapsus pictus argyraeus,Araceae,"Picta Philodendron, Satin pothos, Devils ivy",low,Indonisia,Tropical,medium,Diffused,low,Mealy bug,,"['Hanging', 'Tertiary']",30,20.0,12,53.6
196,Xanthorrhoea arborea,Liliaceae,Grass tree,low,Australia,Arid Tropical,high,/,low,,,"['Potted plant', 'Primary']",35,95.0,12,53.6
197,Schefflera arboricola Trinette,Araliaceae,"Yellow Hawaiian elf, Yellow parasol plant",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'Mealy bug']",,"['Table top', 'Secondary']",30,20.0,12,53.6
198,Schefflera actinophylla Amate,Araliaceae,Umbella plant,low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'Mealy bug']",,"['Potted plant', 'Secondary']",28,82.4,12,53.6
202,Schefflera arboricola,Araliaceae,"Hawaiian elf, Parasol plant",low,Taiwan,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'Mealy bug']",,"['Potted plant', 'Secondary']",30,20.0,12,53.6
203,Spathiphyllum,Araceae,"Peace lily, Emerald Swirl",low,Cultivar,Tropical,medium,Diffused,high,"['Mealy bug', 'Thrips']",Phytophtora,"['Table top', 'Tertiary']",28,82.4,15,59.0
205,Schefflera arboricola,Araliaceae,"Hawaiian elf, Parasol plant, Gold Cappela",low,Cultivar,Tropical,high,Direct sunlight.,high,"['Spider mite', 'Aphid', 'Mealy bug']",,"['Potted plant', 'Secondary']",30,20.0,12,53.6
206,Strelitzia nicolai,Strelitziaceae,White bird of paradise,low,South Africa,Subtropical,high,Direct sunlight.,high,"['Spider mite', 'Mealy bug']",,"['Table top', 'Tertiary']",30,20.0,12,53.6
207,Zamioculcas zamifolia,Araceae,Zz plant,low,South Africa,Tropical,medium,Diffused,high,,,"['Table top', 'Secondary']",30,20.0,12,53.6
208,Yucca elephantipes,Liliaceae,"Spineless yucca, Palm lily",low,Mexico,Subtropical,high,Direct sunlight.,high,,Downy mildiou,"['Potted plant', 'Secondary']",30,20.0,12,53.6
0,Aeschynanthus lobianus,Gesneriaceae,Money Plant,low,Java,Tropical,medium,Direct sunlight,high,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
1,Adiantum raddianum,Polypodiaceae,Snake Plant,low,Brazil,Tropical,medium,Diffused,high,"['Mealy bug', 'Aphid', 'Snail']",Gray mold,"['Potted plant', 'Ground cover', 'Table top']",30,86.0,12,53.6
2,Aechmea fatsiata,Bromeliaceae,Aloe Vera,low,Brazil,Tropical humid,medium,Diffused,low,,,"['Flower', 'Table top', 'Tertiary']",30,20.0,12,53.6
3,Agave angustilolia Marginata,Amaryllidaceae,Areca Palm,low, India,Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,5,41.0
4,Aechmea ramosa,Bromeliaceae,Peace Lily,low,Brazil,Subtropical,medium,Diffused,low,,,"['Flower', 'Table top', 'Primary']",30,20.0,12,53.6
5,Aechmea fasciata,Bromeliaceae,Spider Plant,low,Hybrid,Tropical humid,medium,Diffused,low,,,"['Flower', 'Table top', 'Tertiary']",30,20.0,12,53.6
6,Agave filifera,Amaryllidaceae,Tulsi,low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,5,41.0
7,Adiantum hispidulum,Polypodiaceae,Mint,low,Australia & New Guinea,Tropical,medium,Diffused,high,"['Mealy bug', 'Aphid', 'Snail']",Gray mold,"['Table top', 'Ground cover', 'Tertiary']",30,20.0,12,53.6
8,Agave attenuata,Amaryllidaceae,Coriander,low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,5,41.0
9,Aglaonema,Araceae,Spinach,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
10,Aglaonema,Araceae,Tomato,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
11,Aglaonema,Araceae,Chilli,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
12,Aglaonema,Araceae,Brinjal,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Table top', 'Ground cover', 'Tertiary']",28,82.4,18,64.4
13,Aglaonema,Araceae,Cabbage,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
14,Aglaonema,Araceae,Carrot,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
15,Aglaonema,Araceae,Strawberry,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
16,Aglaonema,Araceae,Papaya,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
17,Aglaonema,Araceae,Banana,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Primary', 'Secondary']",28,82.4,18,64.4
18,Aglaonema,Araceae,Guava,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
19,Agave verschaffeltii,Amaryllidaceae,Pomegranate,low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,12,53.6
20,Aglaonema,Araceae,Lemon,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Table top', 'Ground cover', 'Tertiary']",28,82.4,18,64.4
21,Aglaonema,Araceae,Drumstick Tree,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
22,Agave striata,Amaryllidaceae,Curry Leaf Plant,low,Mexico,Arid Tropical,high,Direct sunlight.,low,"['Scale', 'Mealy bug']",,"['Potted plant', 'Primary', 'Secondary']",35,95.0,12,53.6
23,Aglaonema,Araceae,Neem (small),low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Secondary', 'Tertiary']",28,82.4,18,64.4
24,Aglaonema,Araceae,Moringa,low,Hybrid,Tropical,medium,Diffused,high,"['Mealy bug', 'Scale']","['Phytophtora', 'Crown rot']","['Potted plant', 'Ground cover', 'Tertiary']",28,82.4,18,64.4
25,Alocasia nebula Imperialis,Araceae,Fig (small),low,Cultivar,Tropical humid,medium,Direct sunlight.,high,"['Spider mite', 'Mealy bug']","['Phytophtora', 'Crown rot']","['Colors / Forms', 'Table top', 'Tertiary']",28,82.4,15,59.0
0,Aeschynanthus lobianus,Gesneriaceae,Aglaonema Red,low,Java,Tropical,low,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Syngonium,low,Java,Tropical,medium,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Anthurium Red,low,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Kalanchoe,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Peperomia,low,Java,Tropical,medium,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Fittonia,low,Java,Tropical,low,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Caladium,low,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Begonia,low,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Onion,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Garlic,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Beans,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Peas,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Capsicum,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Cauliflower,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Broccoli,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Radish,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Beetroot,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Okra,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Orange (dwarf),medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Sapota,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Dragon Fruit,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Grapes,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Pineapple,low,Java,Tropical,medium,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Mosambi,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Hibiscus,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Rose,low,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Ixora,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Jasmine,low,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Henna,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Tecoma,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Plumeria,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Marigold,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Petunia,low,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Zinnia,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Pansy,low,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Portulaca,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Vinca,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Dahlia (dwarf),low,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Chrysanthemum,low,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Tomato Cherry,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Lettuce,low,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Cucumber,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Spring Onion,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Curry Leaf (medium),medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Adenium,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Coleus,low,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Geranium,low,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Balsam,low,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Celosia,low,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Mango Tree,high,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Guava Tree,high,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Papaya Tree,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Banana Plant,high,Java,Tropical,high,Direct sunlight,high,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Coconut Tree,high,Java,Tropical,high,Direct sunlight,high,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Ashoka Tree,high,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Bottle Brush,high,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Bougainvillea,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Frangipani,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Hibiscus Tree,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
